id;name;description;type;parent_tag_id;created_at;updated_at;hide_in_liturgy;order;lit_day_identificator
454;sv. Vincence z Pauly;;40;;;;0;;vincent_de_paul_priest
455;sv. Jeronýma;;40;;;;0;;jerome_of_stridon_priest
456;sv. Melichara Grodeckého;;40;;;;0;;melchior_grodziecki_priest
457;sv. Petra Klavera;;40;;;;0;;peter_claver_priest
458;bl. Karla Spinoly;;40;;;;0;;charles_spinola_priest
459;Jména Panny Marie;;40;;;;0;;most_holy_name_of_mary
460;sv. Kornélia a Cypriána;;40;;;;0;;cornelius_i_pope_and_cyprian_of_carthage_bishop_martyrs
461;sv. Roberta Bellarmina;;40;;;;0;;robert_bellarmine_bishop
462;sv. Januária;;40;;;;0;;januarius_i_of_benevento_bishop
463;sv. Kosmy a Damiána;;40;;;;0;;cosmas_of_cilicia_and_damian_of_cilicia_martyrs
464;sv. Lukáše;;40;;;;0;;luke_evangelist
465;sv. Šimona a Judy;;40;;;;0;;simon_and_jude_apostles
466;sv. Terezie od Dítěte Ježíše;;40;;;;0;;therese_of_the_child_jesus_and_the_holy_face_of_lisieux_virgin
467;svatých andělů strážných;;40;;;;0;;guardian_angels
468;sv. Františka z Assisi;;40;;;;0;;francis_of_assisi
469;Panny Marie Růžencové;;40;;;;0;;our_lady_of_the_rosary
470;sv. Terezie od Ježíše;;40;;;;0;;teresa_of_jesus_of_avila_virgin
471;sv. Ignáce Antiochijského;;40;;;;0;;ignatius_of_antioch_bishop
472;sv. Faustiny Kowalské;;40;;;;0;;faustina_kowalska_virgin
473;sv. Bruna;;40;;;;0;;bruno_of_cologne_priest
474;sv. Dionýsia a druhů;;40;;;;0;;denis_of_paris_bishop_and_companions_martyrs
475;sv. Jana Leonardiho;;40;;;;0;;john_leonardi_priest
476;sv. Jana XIII.;;40;;;;0;;john_xxiii_pope
477;sv. Radima;;40;;;;0;;radim_of_gniezno_bishop
478;sv. Kalista I.;;40;;;;0;;callistus_i_pope
479;sv. Markéty Marie Alacoque;;40;;;;0;;margaret_mary_alacoque_virgin
480;sv. Hedviky;;40;;;;0;;hedwig_of_silesia_religious
481;sv. Jana de Brébeuf a Izáka Joguese a druhů;;40;;;;0;;john_de_brebeuf_isaac_jogues_priests_and_companions_martyrs
482;sv. Pavla od Kříže;;40;;;;0;;paul_of_the_cross_priest
483;bl. Karla Rakouského;;40;;;;0;;charles_i_of_austria
484;sv. Jana Pavla II.;;40;;;;0;;john_paul_ii_pope
485;sv. Jana Kapistránského;;40;;;;0;;john_of_capistrano_priest
486;sv. Antonína Marie Klareta;;40;;;;0;;anthony_mary_claret_bishop
487;sv. Wolfganga;;40;;;;0;;wolfgang_of_regensburg_bishop
488;Všech svatých;;40;;;;0;;all_saints
489;Vzpomínka na všechny věrné zemřelé;;40;;;;0;;all_souls
490;Posvěcení lateránské baziliky;;40;;;;0;;dedication_of_the_lateran_basilica
491;sv. Ondřeje;;40;;;;0;;andrew_apostle
492;sv. Karla Boromejského;;40;;;;0;;charles_borromeo_bishop
493;sv. Lva Velikého;;40;;;;0;;leo_i_the_great_pope
494;sv. Martina;;40;;;;0;;martin_of_tours_bishop
495;sv. Josafata;;40;;;;0;;josaphat_kuntsevych_bishop
496;sv. Anežky České;;40;;;;0;;agnes_of_bohemia_virgin
497;sv. Alžběty Uherské;;40;;;;0;;elizabeth_of_hungary_religious
498;Zasvěcení Panny Marie v Jeruzalémě;;40;;;;0;;presentation_of_mary
499;sv. Cecilie;;40;;;;0;;cecilia_of_rome_virgin
